"","color_position","Participant_ID","Condition","condition_str","participant_number","trials_gen.thisTrialN","gen_response_color_index_in_orig_colorbar_space","gen_response_distance_idx","gen_response_distance_dE","gen_signed_distance_idx","trial_within_test_color","idx_for_graph","exemplar_position","color_to_prototype_distance_idx","color_to_prototype_de"
"117",133,"SU23_1001",2,"Dark Far",1001,26,141,8,4.46080068555555,8,1,129,158,-25,15
"118",93,"SU23_1001",2,"Dark Far",1001,27,109,16,9.53311872173206,16,2,91,93,0,0
"119",251,"SU23_1001",2,"Dark Far",1001,28,251,0,0,0,2,249,226,25,15
"120",226,"SU23_1001",2,"Dark Far",1001,29,210,16,4.99889330681402,-16,2,224,226,0,0
"121",76,"SU23_1001",2,"Dark Far",1001,30,102,26,14.6868789735823,26,2,74,93,-17,7
"122",123,"SU23_1001",2,"Dark Far",1001,31,145,22,12.5459610733608,22,2,121,93,30,15
"123",241,"SU23_1001",2,"Dark Far",1001,32,245,4,2.20053803069266,4,2,239,226,15,7
"124",29,"SU23_1001",2,"Dark Far",1001,33,15,14,6.53168527186293,-14,2,27,52,-23,7
"125",170,"SU23_1001",2,"Dark Far",1001,34,185,15,5.97129010607492,15,2,168,158,12,7
"126",133,"SU23_1001",2,"Dark Far",1001,35,104,29,17.6729516914106,-29,2,131,158,-25,15
"127",216,"SU23_1001",2,"Dark Far",1001,36,205,11,3.42427553306538,-11,3,216,226,-10,7
"128",29,"SU23_1001",2,"Dark Far",1001,37,12,17,7.96061140602401,-17,3,29,52,-23,7
"129",76,"SU23_1001",2,"Dark Far",1001,38,103,27,15.2682371655803,27,3,76,93,-17,7
"130",10,"SU23_1001",2,"Dark Far",1001,39,1,9,10.941393654034,-9,3,10,52,-42,15
"131",203,"SU23_1001",2,"Dark Far",1001,40,199,4,1.34530917524152,-4,3,203,226,-23,15
"132",216,"SU23_1001",2,"Dark Far",1001,41,215,1,0.30484544198998,-1,4,218,226,-10,7
"133",93,"SU23_1001",2,"Dark Far",1001,42,120,27,16.2716646129185,27,3,93,93,0,0
"134",72,"SU23_1001",2,"Dark Far",1001,43,96,24,13.4549598926096,24,3,72,52,20,7
"135",133,"SU23_1001",2,"Dark Far",1001,44,144,11,6.04323682689797,11,3,133,158,-25,15
"136",72,"SU23_1001",2,"Dark Far",1001,45,116,44,24.9571477593676,44,4,74,52,20,7
"137",203,"SU23_1001",2,"Dark Far",1001,46,196,7,2.38281993560268,-7,4,205,226,-23,15
"138",251,"SU23_1001",2,"Dark Far",1001,47,251,0,0,0,3,251,226,25,15
"139",93,"SU23_1001",2,"Dark Far",1001,48,187,94,47.3365195482252,94,4,95,93,0,0
"140",170,"SU23_1001",2,"Dark Far",1001,49,204,34,12.6128008298271,34,3,170,158,12,7
"141",146,"SU23_1001",2,"Dark Far",1001,50,142,4,2.08444365933153,-4,3,146,158,-12,7
"142",123,"SU23_1001",2,"Dark Far",1001,51,113,10,6.24949952712308,-10,3,123,93,30,15
"143",10,"SU23_1001",2,"Dark Far",1001,52,11,1,0.94779062014919,1,4,12,52,-42,15
"144",52,"SU23_1001",2,"Dark Far",1001,53,55,3,1.86323950748357,3,3,52,52,0,0
"145",158,"SU23_1001",2,"Dark Far",1001,54,204,46,17.7043768937864,46,3,158,158,0,0
"146",185,"SU23_1001",2,"Dark Far",1001,55,204,19,6.70897673184214,19,3,185,158,27,15
"147",108,"SU23_1001",2,"Dark Far",1001,56,103,5,3.07002420088501,-5,3,108,93,15,7
"148",241,"SU23_1001",2,"Dark Far",1001,57,235,6,3.1642685642444,-6,3,241,226,15,7
"149",158,"SU23_1001",2,"Dark Far",1001,58,190,32,12.9981451037492,32,4,160,158,0,0
"150",185,"SU23_1001",2,"Dark Far",1001,59,207,22,7.67225643891068,22,4,187,158,27,15
"151",29,"SU23_1001",2,"Dark Far",1001,60,17,12,5.97377786280485,-12,4,31,52,-23,7
"152",226,"SU23_1001",2,"Dark Far",1001,61,236,10,4.48767320868582,10,3,226,226,0,0
"153",108,"SU23_1001",2,"Dark Far",1001,62,84,24,13.8878860391341,-24,4,110,93,15,7
"154",133,"SU23_1001",2,"Dark Far",1001,63,124,9,5.37976255023071,-9,4,135,158,-25,15
